bathrooms,bedrooms,price,square_feet,category_encoded,amenities_encoded,has_photo_encoded,pets_allowed_encoded,cityname_encoded,state_encoded,source_encoded
1,1,600,250,0,2227,1,3,396,10,9
1,1,600,250,0,2135,1,3,1264,4,9
1,1,600,250,0,2135,1,3,1385,9,9
1,1,600,250,0,2135,1,3,633,22,9
1,1,600,250,0,2135,1,3,1155,27,9
1,1,595,250,0,2135,1,3,969,45,9
1,1,580,250,0,2227,1,3,1449,9,9
1,1,575,250,0,2135,1,3,297,38,9
1,1,575,250,0,2135,1,3,1551,9,9
1,1,550,250,0,2135,1,3,284,20,9
1,1,550,250,0,2227,1,3,1345,45,9
1,1,500,250,0,2227,1,3,772,40,9
1,1,500,250,0,2227,1,3,72,43,9
1,1,500,250,0,2135,1,3,1084,3,9
1,1,499,250,0,1050,1,1,496,17,9
1,1,495,250,0,2227,1,3,1099,3,9
1,1,200,250,0,2135,1,3,936,20,9
1,0,1325,253,0,2135,1,1,1284,47,9
1,0,1400,255,0,2135,1,1,699,47,9
1,0,1995,258,0,1084,1,1,1246,4,9
1,1,710,265,0,2183,1,0,809,48,9
1,1,1659,272,0,1601,1,1,1467,7,9
1,1,1600,272,0,2135,1,3,1249,4,9
1,1,850,273,0,1183,1,1,138,15,9
1,0,1900,275,0,2135,1,0,322,4,9
1,1,1505,275,0,2135,1,3,792,4,9
1,1,900,275,0,2227,1,3,523,3,9
1,0,892,275,0,1221,1,0,272,14,9
1,1,705,275,0,2135,2,3,279,35,8
1,1,1240,280,0,2227,1,3,1060,20,9
1,1,870,285,0,2135,1,1,34,0,9
1,0,1095,286,0,2135,1,1,272,14,9
1,0,1350,288,0,2135,1,1,1284,47,9
1,1,865,288,0,189,2,3,1027,38,8
1,1,690,288,0,516,1,1,1385,9,9
1,0,1099,290,0,2135,1,1,1134,37,9
1,1,700,290,0,1182,1,0,904,23,9
1,0,850,296,0,2135,1,3,653,12,9
1,0,2200,300,0,2135,1,1,1070,4,9
1,1,2112,300,0,1200,2,3,1157,31,8
1,1,1868,300,0,1200,2,3,917,4,8
1,1,1785,300,0,1190,2,3,459,6,8
1,1,1575,300,0,1126,1,1,792,4,8
1,1,1534,300,0,1190,2,3,508,20,8
1,1,1470,300,0,1200,2,3,818,6,8
1,1,1470,300,0,1200,2,3,528,20,8
1,1,1470,300,0,1200,2,1,305,20,8
1,2,1425,300,0,1129,1,3,178,34,9
1,1,1386,300,0,1200,2,3,769,20,8
1,0,1195,300,0,2135,1,3,1284,47,9
1,1,995,300,0,2135,1,1,272,14,9
1,0,975,300,0,2135,1,3,784,4,8
1,1,911,300,0,1190,1,1,272,14,9
1,0,900,300,0,2135,1,1,69,43,9
1,1,800,300,0,2227,1,3,481,5,9
1,1,800,300,0,2135,1,3,363,10,9
1,1,795,300,0,2135,1,3,369,5,9
1,1,795,300,0,2136,1,0,1269,9,3
1,1,775,300,0,1190,1,1,902,48,9
1,0,760,300,0,2135,1,3,272,14,9
1,1,750,300,0,2227,1,3,1489,9,9
1,1,725,300,0,2135,1,3,1404,39,9
1,1,700,300,0,2135,1,3,1356,10,9
1,1,650,300,0,2175,1,3,306,35,9
1,1,595,300,0,2135,1,1,548,5,9
1,1,590,300,0,1154,1,0,138,15,9
1,2,590,300,0,1024,1,3,138,15,9
1,2,585,300,0,1024,1,3,138,15,9
1,2,580,300,0,1029,1,3,250,14,9
1,1,400,300,0,2135,1,3,1155,27,9
1,1,1195,301,0,1124,1,1,1176,33,9
1,1,1094,306,0,1122,1,1,1176,33,9
1,0,725,308,0,1675,1,3,1502,15,9
1,0,1099,309,0,2135,1,1,1134,37,9
1,2,1222,310,0,1048,1,3,797,19,9
1,0,2195,313,0,1793,1,1,1246,4,9
1,1,760,313,0,1676,1,1,647,15,9
1,2,650,314,0,456,1,3,1036,44,9
1,0,2695,315,0,1760,1,1,1246,4,9
1,2,730,315,0,1538,1,0,34,0,9
1,0,659,315,0,2135,1,1,761,17,9
1,1,775,317,0,1760,1,1,721,15,9
1,0,1350,318,0,2135,1,3,270,20,9
1,1,1100,319,0,916,1,1,272,14,9
1,1,965,320,0,1190,1,0,272,14,9
1,0,675,320,0,1166,1,3,291,35,9
1,1,925,321,0,2135,1,3,732,5,9
1,1,845,322,0,2135,1,1,902,48,9
1,2,700,324,0,2136,1,3,809,48,9
1,2,2700,325,0,2253,1,3,146,19,8
1,2,1995,325,0,2135,1,0,1172,4,9
1,1,1350,325,0,2135,1,2,1284,47,9
1,2,1349,325,0,2135,1,1,272,14,9
1,2,975,325,0,897,1,1,739,33,9
1,0,925,325,0,1084,1,0,272,14,9
1,2,899,325,0,1538,1,1,272,14,9
1,2,700,325,0,2135,1,1,166,6,8
1,2,325,325,0,2175,1,0,1405,35,9
1,1,915,330,0,2227,1,0,369,5,8
1,0,799,330,0,1670,1,3,1502,15,9
1,1,710,330,0,2243,1,1,681,24,9
1,2,2695,332,0,1793,1,1,1246,4,9
1,1,2295,332,0,1793,1,1,1246,4,9
1,2,1079,333,0,2135,1,0,369,5,9
1,2,1386,334,0,2135,1,3,69,43,9
1,1,800,335,0,2135,1,1,372,12,9
1,0,2195,336,0,1760,1,1,1246,4,9
1,2,1100,336,0,2135,1,0,1300,48,9
1,1,1099,336,0,2175,1,1,1385,9,9
1,0,625,336,0,2104,1,3,1417,3,9
1,2,809,337,0,2135,1,3,69,43,9
1,0,2295,338,0,2237,1,1,1246,4,9
1,2,1160,338,0,631,1,1,507,9,9
1,2,998,338,0,1179,1,3,1478,48,9
1,2,990,338,0,1132,1,1,1134,37,9
1,1,785,340,0,2175,1,3,809,48,9
1,2,720,340,0,1670,1,3,1502,15,9
1,0,1240,341,0,630,1,1,1393,3,9
1,0,2395,342,0,2237,1,3,1246,4,9
1,2,480,342,0,1670,1,1,721,15,9
1,0,800,344,0,830,1,1,262,42,9
1,1,1655,346,0,1766,1,1,1284,47,9
1,1,899,346,0,1210,1,0,904,23,9
1,1,600,347,0,2135,1,1,1233,24,9
1,2,699,348,0,1765,1,1,681,24,9
1,0,2195,350,0,2237,1,3,1246,4,9
1,2,1670,350,0,1828,1,3,39,22,9
1,1,1650,350,0,2227,1,3,1247,4,9
1,2,1550,350,0,2136,1,1,1467,7,9
1,0,1400,350,0,2135,1,1,792,4,9
1,0,1299,350,0,2135,1,1,1134,37,9
1,0,1299,350,0,2135,1,1,1284,47,9
1,2,1200,350,0,411,1,0,593,19,9
1,1,1145,350,0,2135,1,1,1098,38,9
1,1,1000,350,0,1136,1,0,809,48,9
1,0,940,350,0,2135,1,3,272,14,9
1,2,895,350,0,973,1,1,1512,35,9
1,0,875,350,0,2135,1,1,69,43,9
0,1,849,350,0,2135,1,1,1281,3,9
1,1,800,350,0,2237,1,3,272,14,9
1,0,710,350,0,2135,1,1,1338,47,9
1,0,699,350,0,2137,1,1,345,20,8
1,2,695,350,0,2192,1,1,34,0,9
0,0,600,350,0,2135,1,3,1380,34,9
1,0,592,350,0,2175,1,1,1417,3,9
1,1,1225,351,0,887,1,1,1134,37,9
1,2,1246,352,0,2135,1,3,69,43,9
1,0,1225,352,0,1841,1,1,792,4,8
1,1,675,354,0,1158,1,1,750,24,9
1,0,1400,355,0,2135,1,1,792,4,9
1,1,585,355,0,1190,1,3,1431,14,9
1,2,1125,357,0,1765,1,1,272,14,9
1,2,614,357,0,1168,1,3,291,35,8
1,2,1225,360,0,2135,1,1,405,31,9
1,2,875,360,0,2135,1,1,1238,37,9
1,2,850,360,0,2135,1,3,69,43,9
1,1,670,360,0,2136,1,3,809,48,9
1,1,639,360,0,1734,1,3,250,14,9
1,1,495,360,0,2175,1,1,1420,36,9
1,2,1750,362,0,887,1,1,1467,7,9
1,1,1050,362,0,2135,1,1,272,14,9
1,0,950,362,0,2135,1,3,69,43,9
1,2,1200,367,0,2135,1,3,1134,37,9
1,1,985,367,0,2136,1,1,272,14,9
1,2,965,368,0,2135,1,0,575,6,9
1,1,530,368,0,1213,1,0,1007,22,9
1,2,1530,369,0,2135,1,1,1284,47,9
1,1,1000,369,0,1979,2,3,784,4,8
1,1,720,369,0,1765,1,1,681,24,9
1,0,1225,370,0,2135,1,3,968,31,9
1,1,1025,370,0,2135,1,0,1134,37,9
1,1,765,370,0,1104,1,1,25,43,9
1,1,1975,375,0,1754,1,1,1266,4,9
1,1,1525,375,0,2135,1,3,1245,4,9
1,1,1175,375,0,887,1,3,1134,37,9
1,2,940,375,0,1753,1,3,69,43,9
1,1,850,375,0,1182,1,3,1502,15,9
1,1,829,375,0,2135,1,1,1099,3,9
1,0,799,375,0,1670,1,3,1502,15,9
1,2,773,375,0,1190,1,0,904,23,9
1,1,386,375,0,1522,1,1,411,48,9
1,2,1400,377,0,1097,1,1,882,9,9
1,1,3095,378,0,1779,1,0,1246,4,9
1,2,1275,378,0,921,1,1,1134,37,9
1,0,929,378,0,2135,1,3,69,43,9
1,2,1591,379,0,294,1,1,249,4,8
1,1,2895,380,0,1793,1,1,1246,4,9
1,0,2695,380,0,1760,1,1,1246,4,9
1,0,1400,380,0,2135,1,3,1245,4,9
1,2,955,380,0,2135,1,0,34,0,9
1,1,540,380,0,496,1,1,1417,3,9
1,2,2895,381,0,1793,1,1,1246,4,9
1,2,2874,382,0,1084,1,3,1246,4,9
1,2,635,382,0,1075,1,1,704,42,9
1,1,902,384,0,1538,1,1,272,14,9
1,0,2395,385,0,2237,1,1,1246,4,9
1,1,1250,385,0,2135,1,1,1134,37,9
1,1,540,385,0,1024,1,3,138,15,9
1,1,350,385,0,2182,1,3,247,17,3
1,2,1262,386,0,1547,1,1,1134,37,9
1,0,1115,389,0,1308,1,1,1134,37,9
1,2,2095,390,0,638,1,1,1145,39,9
1,1,1800,390,0,607,1,1,1467,7,9
1,2,879,390,0,1719,1,1,1050,9,9
1,1,699,390,0,1745,1,3,1502,15,9
1,1,640,390,0,2237,1,3,1431,14,9
1,1,999,391,0,2001,1,3,69,43,9
1,1,959,391,0,404,1,3,69,43,9
1,0,1654,393,0,2135,1,3,1467,7,9
1,2,995,393,0,1063,1,1,235,43,9
1,0,919,394,0,2135,1,3,69,43,9
1,0,1350,395,0,2135,1,1,792,4,9
1,1,1045,395,0,2135,1,1,272,14,9
1,2,976,395,0,1753,1,3,69,43,9
1,2,762,395,0,1018,1,3,105,47,9
1,1,1050,396,0,2135,1,3,69,43,9
1,1,1225,397,0,894,1,3,1134,37,9
1,2,2495,398,0,1793,1,1,1246,4,9
1,1,1173,398,0,1734,1,1,272,14,9
1,2,1005,398,0,2217,1,3,69,43,9
1,2,1000,398,0,2135,1,1,69,43,9
1,2,875,398,0,2135,1,3,69,43,9
1,2,3000,400,0,2227,1,3,355,9,9
1,0,2450,400,0,1793,1,3,1266,4,9
1,1,2050,400,0,2227,1,3,33,4,9
1,0,1659,400,0,917,1,1,1467,7,9
1,1,1625,400,0,2135,1,3,64,47,9
1,2,1599,400,0,1839,1,3,1573,51,9
1,0,1599,400,0,1843,1,3,163,34,9
1,1,1580,400,0,2227,1,3,1573,51,9
1,1,1500,400,0,2227,1,3,1251,4,9
1,1,1500,400,0,2227,1,3,33,4,9
1,0,1450,400,0,2135,1,3,1245,4,9
1,1,1415,400,0,2135,1,3,1255,4,9
1,1,1400,400,0,2135,1,3,67,5,9
1,1,1395,400,0,2137,1,0,39,22,9
1,1,1375,400,0,2135,1,1,712,4,9
1,1,1355,400,0,2135,1,3,104,4,9
1,1,1345,400,0,2135,1,3,1467,7,9
1,1,1250,400,0,2135,1,3,1323,19,9
1,2,1242,400,0,1765,1,1,272,14,9
1,1,1225,400,0,887,1,1,1134,37,9
1,1,1215,400,0,2135,1,3,1247,4,9
1,1,1200,400,0,2227,1,3,1099,3,9
1,1,1160,400,0,1207,1,1,809,48,9
1,1,1150,400,0,2135,1,3,1057,20,9
1,1,1100,400,0,2135,1,3,55,5,9
1,1,1100,400,0,2191,2,3,1135,30,8
1,2,1099,400,0,1984,1,1,1385,9,9
1,1,1095,400,0,1753,1,3,69,43,9
1,2,1090,400,0,2088,1,3,69,43,9
1,2,1085,400,0,2135,1,3,69,43,9
1,1,1050,400,0,2135,1,1,272,14,9
1,2,1045,400,0,1534,1,3,69,43,9
1,2,1040,400,0,1531,1,3,69,43,9
1,1,1035,400,0,2227,1,3,1087,9,9
1,2,1012,400,0,2135,1,1,67,5,9
1,1,1000,400,0,929,1,1,1098,38,9
1,1,1000,400,0,2135,1,3,1381,47,9
1,1,995,400,0,2135,1,2,904,23,9
1,3,975,400,0,2135,1,3,69,43,9
1,0,975,400,0,2135,1,0,69,43,9
1,1,975,400,0,2135,1,3,1087,9,9
1,1,950,400,0,2135,1,3,285,27,9
1,2,945,400,0,1084,1,0,904,23,9
1,0,925,400,0,2135,1,2,69,43,9
1,1,925,400,0,2135,1,3,1213,10,9
1,1,925,400,0,2190,2,0,984,30,8
1,1,919,400,0,2135,1,3,1234,23,9
1,1,910,400,0,2135,1,3,148,5,9
1,3,900,400,0,2135,1,3,69,43,9
1,1,900,400,0,2135,1,3,816,45,9
1,1,900,400,0,2227,1,3,69,43,9
1,1,899,400,0,204,1,1,987,45,8
1,2,895,400,0,2135,1,1,69,43,9
1,0,895,400,0,2135,1,3,69,43,9
1,0,895,400,0,2135,1,1,69,43,9
1,0,895,400,0,2135,1,1,69,43,9
1,1,875,400,0,2135,1,3,1400,5,9
1,2,875,400,0,2135,1,3,69,43,9
1,1,875,400,0,2135,1,3,566,37,9
1,1,865,400,0,2135,1,3,1499,6,9
1,2,857,400,0,2135,1,3,69,43,9
1,0,850,400,0,2135,1,1,634,43,9
1,1,850,400,0,2135,1,3,1573,51,9
1,1,850,400,0,2135,1,3,634,43,9
1,1,845,400,0,2135,1,3,484,5,9
1,0,829,400,0,1169,1,3,76,20,8
1,1,800,400,0,2135,1,3,67,5,9
1,1,799,400,0,1190,1,3,1502,15,9
1,2,799,400,0,863,1,1,272,14,9
1,0,750,400,0,11,1,3,739,33,8
1,2,720,400,0,2135,1,3,479,23,9
1,1,720,400,0,1221,1,0,306,35,9
1,1,700,400,0,2135,1,3,786,5,9
1,1,700,400,0,2135,1,3,369,5,9
1,2,695,400,0,1726,1,1,210,43,9
1,1,691,400,0,2227,1,3,661,9,9
1,1,690,400,0,2135,1,3,882,9,9
1,1,660,400,0,2135,1,3,138,15,9
1,0,615,400,0,2135,1,1,1040,29,9
1,1,600,400,0,2227,1,3,1000,9,9
1,1,600,400,0,2135,1,3,369,5,9
1,2,599,400,0,1760,1,3,721,15,9
1,0,500,400,0,381,1,0,562,27,8
1,1,499,400,0,95,1,1,1302,18,8
1,1,475,400,0,2135,1,3,369,5,9
1,1,435,400,0,2135,1,3,1567,35,9
1,2,425,400,0,2135,1,1,906,28,9
1,2,300,400,0,1106,1,3,1125,43,9
1,1,975,401,0,1753,1,3,69,43,9
1,2,2460,402,0,2135,1,1,207,19,9
1,2,1050,403,0,1020,1,0,1479,48,9
2,2,1198,404,0,791,1,1,64,1,9
1,1,635,404,0,2164,1,1,1417,3,9
1,0,1975,405,0,2237,1,0,1323,19,9
1,2,1725,405,0,2088,2,1,1282,4,8
1,0,1495,405,0,1094,1,3,1467,7,9
1,1,1085,405,0,2135,1,1,902,48,9
1,0,1085,405,0,2092,1,3,369,5,8
1,0,849,405,0,1163,0,3,1099,3,0
1,3,780,405,0,1741,1,1,1109,38,9
1,1,1670,406,0,2058,1,3,792,4,8
1,0,1650,406,0,2135,1,3,792,4,9
1,2,1025,406,0,1726,1,3,250,14,9
1,0,950,407,0,2144,1,1,1099,3,9
1,0,2495,408,0,1793,1,1,1246,4,9
1,0,1225,408,0,2135,1,3,968,31,9
1,2,1350,409,0,2135,1,1,1283,47,9
1,1,950,409,0,2135,1,1,566,37,9
1,2,1450,410,0,2164,1,1,480,45,9
1,0,950,410,0,2175,1,0,1109,38,9
1,2,925,410,0,2135,1,3,69,43,9
1,1,925,410,0,2135,1,1,69,43,9
1,2,859,410,0,2135,1,3,69,43,9
1,1,695,410,0,2157,2,0,1363,31,8
1,2,595,410,0,2135,1,0,30,12,9
1,2,595,410,0,2135,1,0,30,12,9
1,1,560,410,0,2135,1,3,26,43,9
1,1,420,410,0,2136,1,3,991,35,8
1,2,965,411,0,2236,1,3,69,43,9
1,2,1115,412,0,889,1,1,1134,37,9
1,1,1039,413,0,2135,1,1,272,14,9
1,2,1540,414,0,915,1,1,1467,7,9
1,1,1300,414,0,2135,1,1,1134,37,9
1,2,895,414,0,2135,1,3,69,43,9
1,1,750,414,0,1765,1,1,681,24,9
1,2,715,414,0,2253,1,1,995,45,8
1,2,1450,415,0,2135,1,1,1254,4,9
1,2,1300,415,0,2135,1,1,1098,38,9
1,1,1130,415,0,1765,1,1,272,14,9
1,1,1015,415,0,1538,1,1,272,14,9
1,2,999,415,0,2135,1,3,69,43,9
1,0,699,415,0,1760,1,1,128,1,9
1,0,699,415,0,2175,1,1,128,1,9
1,1,650,415,0,441,1,1,461,2,9
1,2,1399,416,0,2067,1,3,69,43,9
1,2,4000,417,0,2237,1,1,1246,4,9
1,3,2013,418,0,642,1,1,1145,39,9
1,2,1294,418,0,2199,1,1,955,42,9
1,2,1175,418,0,892,1,1,1134,37,9
1,2,875,418,0,2183,1,3,681,24,9
1,0,2895,419,0,1793,1,1,1246,4,9
1,1,1890,419,0,1583,1,3,376,22,9
1,1,2100,420,0,2135,1,1,792,4,9
1,1,1640,420,0,324,1,1,792,4,8
1,1,1255,420,0,1568,1,1,792,4,9
1,1,1250,420,0,2135,1,1,272,14,9
1,1,1050,420,0,2135,1,0,272,14,9
1,1,999,420,0,2135,1,3,1237,9,9
1,0,995,420,0,887,1,3,809,48,9
1,2,920,420,0,2135,1,3,69,43,9
1,1,920,420,0,2135,1,3,69,43,9
1,1,850,420,0,1695,1,1,351,43,9
1,1,725,420,0,2175,1,1,721,18,9
1,1,699,420,0,1018,1,3,1502,15,9
1,2,600,420,0,1024,1,3,138,15,9
1,3,569,420,0,1024,1,3,138,15,9
1,1,560,420,0,2227,1,1,1417,3,9
1,1,1295,422,0,2135,1,0,1284,47,9
1,2,870,422,0,2135,1,3,69,43,9
1,2,805,422,0,1765,1,1,681,24,9
1,2,685,422,0,1131,1,1,1098,38,9
1,3,1219,423,0,644,1,1,995,45,9
1,2,885,423,0,1538,1,1,34,0,9
1,0,1570,425,0,1161,1,1,1467,7,9
1,2,1405,425,0,2192,1,1,699,47,9
1,1,1399,425,0,2135,1,3,69,43,9
1,0,1350,425,0,2135,1,1,792,4,9
1,2,1170,425,0,1538,1,3,34,0,9
1,0,995,425,0,2227,1,3,69,43,9
1,1,925,425,0,409,1,2,69,43,9
1,0,905,425,0,2135,1,3,69,43,9
1,1,800,425,0,2135,1,3,69,43,9
1,1,799,425,0,2135,1,3,69,43,9
1,1,795,425,0,2251,0,1,307,43,8
1,1,2135,426,0,767,1,1,1467,7,9
1,1,2060,426,0,2175,1,0,146,19,9
1,1,1295,426,0,884,1,1,1134,37,9
1,2,1045,426,0,1937,1,1,304,5,9
1,0,899,426,0,2135,1,3,1417,3,9
1,1,814,426,0,2135,1,1,272,14,9
1,2,1745,428,0,10,2,1,1410,4,8
1,1,1395,428,0,2240,2,1,667,31,8
1,2,1249,428,0,603,1,1,272,14,9
1,2,1195,428,0,2135,1,3,1134,37,9
1,3,785,428,0,1760,1,0,279,35,9
1,1,699,428,0,2136,1,3,1502,15,9
1,0,2695,429,0,1793,1,1,1246,4,9
1,1,1325,430,0,2135,1,1,272,14,9
1,2,1125,430,0,2136,1,3,809,48,9
1,0,895,430,0,2135,1,1,1109,38,9
1,1,895,430,0,581,2,1,975,6,8
1,1,845,430,0,581,2,3,975,6,8
1,2,800,430,0,1753,1,3,69,43,9
1,2,775,430,0,581,1,3,975,6,8
1,2,775,430,0,581,2,1,975,6,8
1,2,765,430,0,581,1,3,975,6,8
1,2,765,430,0,581,2,3,975,6,8
1,0,650,430,0,1200,1,1,681,24,9
